file1 file2 intersection union jaccard n_intersections
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed 45418725 182560871 0.248787 84247
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed 46937584 179016995 0.262196 82969
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed 40781065 173514366 0.23503 74483
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed 57254920 192787802 0.296984 92639
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed 64763294 202454303 0.319891 100150
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed 60780944 191241644 0.317823 96909
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed 54774910 176820352 0.309777 89965
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed 54988367 180078136 0.305358 91199
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed 55742879 180072165 0.309559 96493
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed 53874789 178796279 0.301319 92131
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed 58534683 200882573 0.291388 93734
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed 28076951 164197278 0.170995 73261
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed 42101509 157160183 0.267889 93088
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed 35238384 169030592 0.208473 74468
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed 37125111 190392395 0.194993 63674
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed 46346050 168556878 0.274958 81750
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed 45911333 180864768 0.253843 84244
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed 51203880 189452697 0.270273 86474
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed 112834740 112834740 1 186603
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed 54821178 121410031 0.451537 115146
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed 80482623 132509876 0.607371 152732
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed 77115937 133851545 0.57613 146970
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed 71118302 128190032 0.554788 130648
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed 56046985 179008640 0.313097 100392
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed 60157668 192072832 0.313202 104266
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed 58248162 178787329 0.325796 102124
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed 51315660 165292505 0.310454 93014
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed 48037471 172041935 0.27922 86874
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed 47828837 172999110 0.276469 90039
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed 46795590 170888381 0.273837 87098
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed 51146195 193283964 0.264617 90623
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed 26716684 150570448 0.177436 73084
fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed 47489924 136784671 0.347187 110654
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed 26458147 128372558 0.206104 59417
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed 27005920 151073315 0.17876 50187
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed 33327959 132136698 0.252223 63896
