seed,peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie,matrix,rank_ie
1,broad,k5_w5,5,5,18,54,1.0,1.0,0.0,False,1.0,1.0,0.0,False,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w5/exp_a_mnmzr_p24_jaccD_k5_w5_rehash-selector64_full.csv,63
1,broad,k5_w8,5,8,18,54,1.0,0.9973262032085561,0.002673796791443861,False,1.0,0.997326392380493,0.002673607619506968,False,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w8/exp_a_mnmzr_p24_jaccD_k5_w8_rehash-selector64_full.csv,62
1,broad,k5_w10,5,10,18,54,1.0,0.9918256130790191,0.008174386920980936,True,1.0,0.9918261213845425,0.008173878615457486,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w10/exp_a_mnmzr_p24_jaccD_k5_w10_rehash-selector64_full.csv,61
1,broad,k5_w15,5,15,18,54,0.9938650306748467,0.9755351681957186,0.018329862479128045,True,0.9938649136997536,0.975534695704804,0.018330217994949605,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w15/exp_a_mnmzr_p24_jaccD_k5_w15_rehash-selector64_full.csv,60
1,broad,k5_w20,5,20,18,54,0.996551724137931,0.9763513513513513,0.020200372786579712,True,0.9965514124122884,0.9763493443484826,0.020202068063805756,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w20/exp_a_mnmzr_p24_jaccD_k5_w20_rehash-selector64_full.csv,59
1,broad,k5_w25,5,25,18,54,0.989247311827957,0.9424460431654677,0.04680126866248935,True,0.9892462639862276,0.9424407667607512,0.046805497225476445,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w25/exp_a_mnmzr_p24_jaccD_k5_w25_rehash-selector64_full.csv,54
1,broad,k5_w30,5,30,18,54,0.9616858237547893,0.9310344827586207,0.03065134099616862,False,0.9616827489950979,0.9310299285786432,0.030652820416454674,False,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w30/exp_a_mnmzr_p24_jaccD_k5_w30_rehash-selector64_full.csv,57
1,broad,k5_w50,5,50,18,54,0.8952879581151832,0.8509615384615384,0.04432641965364481,False,0.8952952463527369,0.8509727181342441,0.04432252821849281,False,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w50/exp_a_mnmzr_p24_jaccD_k5_w50_rehash-selector64_full.csv,55
1,broad,k5_w75,5,75,18,54,0.9022556390977443,0.8344827586206897,0.06777288047705465,False,0.9022486532275462,0.8344689649247166,0.06777968830282965,False,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k5_w75/exp_a_mnmzr_p24_jaccD_k5_w75_rehash-selector64_full.csv,47
1,broad,k8_w8,8,8,18,54,0.9961469303878757,0.9700429184549356,0.026104011932940097,True,0.9961445314600735,0.9700244770349933,0.026120054425080252,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k8_w8/exp_a_mnmzr_p24_jaccD_k8_w8_rehash-selector64_full.csv,58
1,broad,k8_w10,8,10,18,54,0.9953067709606453,0.9566328946122526,0.0386738763483927,True,0.9953038053785402,0.9566060084551158,0.038697796923424455,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k8_w10/exp_a_mnmzr_p24_jaccD_k8_w10_rehash-selector64_full.csv,56
1,broad,k8_w15,8,15,18,54,0.9940511600237953,0.9445938676707908,0.049457292353004556,True,0.9940477176803111,0.94456346572373,0.04948425195658113,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed1/broad/k8_w15/exp_a_mnmzr_p24_jaccD_k8_w15_rehash-selector64_full.csv,53
