peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie
broad,k35_w50,35,50,18,54,0.8681288691027946,0.34134455711682854,0.5267843119859661,TRUE,0.8633056215035189,0.32510870015837157,0.5381969213451473,TRUE
broad,k35_w60,35,60,18,54,0.8652089628808423,0.338766502803541,0.5264424600773012,TRUE,0.8610768199234804,0.32520120528003155,0.5358756146434489,TRUE
broad,k35_w75,35,75,18,54,0.8614198892438558,0.3358220578178381,0.5255978314260177,TRUE,0.858075428715428,0.32504902213558945,0.5330264065798385,TRUE
broad,k40_w40,40,40,18,54,0.8642263929938864,0.3437941797112914,0.5204322132825949,TRUE,0.8579864744433616,0.32357979753164895,0.5344066769117126,TRUE
broad,k40_w50,40,50,18,54,0.8607068277559192,0.33982923136045823,0.520877596395461,TRUE,0.8555643461152583,0.32364295652806496,0.5319213895871934,TRUE
broad,k40_w60,40,60,18,54,0.857561601562091,0.33696336884133843,0.5205982327207526,TRUE,0.8531245503184062,0.3234782845649249,0.5296462657534813,TRUE
broad,k40_w75,40,75,18,54,0.853504988533423,0.33397864435485797,0.5195263441785651,TRUE,0.8498785533378408,0.3232384620422833,0.5266400912955576,TRUE
broad,k50_w50,50,50,18,54,0.8458344707464709,0.33716393996550825,0.5086705307809627,TRUE,0.8402128712011666,0.32089094066771395,0.5193219305334527,TRUE
broad,k50_w60,50,60,18,54,0.8426194125304941,0.3345272439036017,0.5080921686268924,TRUE,0.8378605821965852,0.32106304521227563,0.5167975369843096,TRUE
broad,k50_w75,50,75,18,54,0.8383769717265022,0.33172372930462496,0.5066532424218773,TRUE,0.8344403004446751,0.32110187159318404,0.5133384288514911,TRUE
narrow,k5_w5,5,5,18,54,1,1,0,FALSE,1,1,0,FALSE
narrow,k5_w8,5,8,18,54,1,0.9972972972972972,0.00270270270270267,FALSE,1,0.997297478268659,0.002702521731341,FALSE
narrow,k5_w10,5,10,18,54,1,0.9916666666666668,0.0083333333333333,TRUE,1,0.9916671027525608,0.00833289724743924,TRUE
narrow,k5_w15,5,15,18,54,0.9968944099378882,0.9753086419753086,0.0215857679625796,TRUE,0.9968943240294972,0.9753079847971124,0.02158633923238484,TRUE
narrow,k5_w20,5,20,18,54,0.9931740614334472,0.9621993127147768,0.03097474871867045,FALSE,0.9931734692420288,0.9621958290453712,0.03097764019665749,TRUE
narrow,k5_w25,5,25,18,54,0.9927007299270072,0.9264705882352942,0.06623014169171315,TRUE,0.9927000235765886,0.9264645667735236,0.06623545680306497,TRUE
narrow,k5_w30,5,30,18,54,0.9563492063492064,0.9176470588235294,0.03870214752567702,FALSE,0.9563466381208507,0.9176432554637424,0.03870338265710837,FALSE
narrow,k5_w50,5,50,18,54,0.8871794871794871,0.8256410256410256,0.06153846153846154,FALSE,0.8871880544697099,0.8256517197851603,0.06153633468454966,FALSE
narrow,k5_w75,5,75,18,54,0.9067796610169492,0.8629032258064516,0.04387643521049755,FALSE,0.9067801310202416,0.8628998516540641,0.04388027936617755,FALSE
narrow,k8_w8,8,8,18,54,0.9977758395115568,0.9651478047927234,0.03262803471883346,TRUE,0.99777445973099,0.9652139778866556,0.03256048184433446,TRUE
narrow,k8_w10,8,10,18,54,0.9967156105100464,0.9542901413906644,0.04242546911938194,TRUE,0.9967135415847612,0.9543890392706358,0.04232450231412543,TRUE
narrow,k8_w15,8,15,18,54,0.9952502740226524,0.9409191720059142,0.0543311020167383,TRUE,0.995247623736431,0.941012062938406,0.05423556079802516,TRUE
narrow,k8_w20,8,20,18,54,0.993853672985782,0.9328240844753988,0.0610295885103832,TRUE,0.9938516338706904,0.9328039300820954,0.06104770378859492,TRUE
narrow,k8_w25,8,25,18,54,0.9920187386136896,0.9240584301302358,0.0679603084834538,TRUE,0.9920165243542268,0.9241812842307447,0.06783524012348208,TRUE
narrow,k8_w30,8,30,18,54,0.9871794871794872,0.9192234181671864,0.06795606901230078,TRUE,0.9871751861130088,0.9191959400982378,0.06797924601477112,TRUE
narrow,k8_w50,8,50,18,54,0.9829128074097732,0.9105703902670248,0.07234241714274847,TRUE,0.9829111698549596,0.9105620245144764,0.07234914534048331,TRUE
narrow,k8_w75,8,75,18,54,0.9804732368481508,0.917022711940634,0.06345052490751657,TRUE,0.9804690280912596,0.9170050365812724,0.06346399150998716,TRUE
narrow,k10_w10,10,10,18,54,0.993459056690736,0.9097306310035476,0.08372842568718841,TRUE,0.9934654331758256,0.9098210385847298,0.08364439459109585,TRUE
narrow,k10_w15,10,15,18,54,0.9917407261831231,0.8949152367755462,0.09682548940757696,TRUE,0.9917032389551774,0.8948957032066037,0.0968075357485737,TRUE
narrow,k10_w20,10,20,18,54,0.9895748107997544,0.8875047651045739,0.10207004569518063,TRUE,0.9895769015491817,0.8876292243626203,0.10194767718656128,TRUE
