precision,num_files,build,arm,run_index,order_position,threads,num_intervals,n_pairs,sketch_time,comparison_time,pair_time,write_time,wall_time,cpu_time,max_rss_mb,us_per_pair,binary_md5,hostname,cpu_model,cpu_count,slurm_job_id,git_sha,corpus_seed
20,64,pre,metrics,0,1,16,10000,4096,12.828261,0.577164,0.570228,0.006935,13.422726392745972,175.71760599999945,149.21484375,139.2158203125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,no_metrics,0,2,16,10000,4096,12.804627,0.199513,0.198141,0.001371,13.021699905395508,170.05775300000118,149.21484375,48.374267578125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,metrics,0,3,16,10000,4096,12.797162,0.339419,0.332493,0.006925,13.153389930725098,172.21111599999995,149.20703125,81.175048828125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,no_metrics,1,0,16,10000,4096,12.84785,0.215261,0.213879,0.001382,13.078680276870728,170.0375099999992,149.19140625,52.216552734375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,metrics,1,1,16,10000,4096,12.821987,0.577301,0.570363,0.006937,13.415446043014526,175.6635060000007,149.24609375,139.248779296875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,metrics,1,2,16,10000,4096,12.800369,0.339757,0.332866,0.00689,13.156888723373413,172.09516299999976,149.23046875,81.26611328125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,no_metrics,1,3,16,10000,4096,12.79122,0.21451,0.21316,0.001349,13.022132158279419,170.00323199999954,149.22265625,52.041015625,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,no_metrics,2,0,16,10000,4096,12.826039,0.213817,0.212428,0.001389,13.054895877838135,169.9565220000004,149.19140625,51.8623046875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,no_metrics,2,1,16,10000,4096,12.787274,0.201565,0.200205,0.00136,13.005394458770752,169.91548699999942,149.22265625,48.878173828125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,metrics,2,2,16,10000,4096,12.826596,0.577174,0.570244,0.006929,13.420395851135254,175.78540699999965,149.21484375,139.2197265625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,metrics,2,3,16,10000,4096,12.776615,0.339407,0.332467,0.006939,13.132702350616455,171.86786400000133,149.20703125,81.168701171875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,no_metrics,3,0,16,10000,4096,12.825475,0.201937,0.200539,0.001397,13.043255805969238,169.71080399999877,149.20703125,48.959716796875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,no_metrics,3,1,16,10000,4096,12.786529,0.204564,0.203206,0.001358,13.005889177322388,169.79854600000033,149.20703125,49.61083984375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
