Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR587HPR	ENCFF200ZET		lung	Homo sapiens
ENCSR541UPY	ENCFF511YWZ		thymus	Homo sapiens
ENCSR511GQA	ENCFF066YJZ		stomach	Homo sapiens
ENCSR962EAP	ENCFF513DPR		thymus	Homo sapiens
ENCSR309FOO	ENCFF079REB		brain	Homo sapiens
ENCSR541JMK	ENCFF559POI		adrenal gland	Homo sapiens
ENCSR119HXE	ENCFF112KVH		stomach	Homo sapiens
ENCSR262QJC	ENCFF720ENQ		kidney	Homo sapiens
ENCSR128GBN	ENCFF052RRA		spleen	Homo sapiens
ENCSR154YPL	ENCFF486QCQ		large intestine	Homo sapiens
ENCSR206OJJ	ENCFF132KNJ		kidney	Homo sapiens
ENCSR563XRP	ENCFF632ETC		large intestine	Homo sapiens
ENCSR366EGE	ENCFF861CQD		heart	Homo sapiens
ENCSR888UPQ	ENCFF339ARK		thymus	Homo sapiens
ENCSR062DUU	ENCFF935XVZ		stomach	Homo sapiens
ENCSR474GZQ	ENCFF208OQF		retina	Homo sapiens
ENCSR818JGZ	ENCFF183JKX		limb	Homo sapiens
