Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR000CBV	ENCFF782GYX	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF453LEY	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF491RJK	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF943OKZ	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF263OTY	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF875BXM	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF725TNR	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF649OFV	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF170BOZ	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF054NEE	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF004JBD	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF302NLF	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF910LFA	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF299BWJ	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF694GGB	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF202QTG	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF422DEW	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF010ONI	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF304KVI	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF173MWV	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF168RMI	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF367LMD	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF967TRS	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF695XKZ	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF678KWQ	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF008AYP	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF176AHK	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF870YTE	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF538KBR	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF575GVY	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF634XVK	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF787KIM	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF605YVN	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF171COP	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF826REH	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF210RWO	CTCF	lung	Mus musculus
ENCSR024KGB	/organism-development-series/ENCSR640AJG	CTCF	heart	Mus musculus
ENCSR000CBI	ENCFF001LJK	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF001LJL	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF001LJM	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF001LJP	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF001LJV	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF001LJW	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF001YAF	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF697CPY	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF829TDM	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF180YAD	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF198ZVJ	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF474GRP	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF205YLK	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF616HYA	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF639AFA	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF644KRF	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF753TYE	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF893QOZ	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF754RBY	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF693RNU	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF708QMA	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF987EVU	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF366XDH	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF434XPF	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF089NKC	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF824BON	CTCF	heart	ENCAB210NHK
