"accession","species","tissue"
"ENCFF516RWX","Homo_sapiens","liver"
"ENCFF516SHZ","Mus_musculus","stomach"
"ENCFF516VPP","Mus_musculus","cerebellum"
"ENCFF517JOD","Mus_musculus","liver"
"ENCFF518ZUI","Mus_musculus","liver"
"ENCFF519GFX","Mus_musculus","kidney"
"ENCFF520LZN","Homo_sapiens","cerebellum"
"ENCFF521DVN","Mus_musculus","kidney"
"ENCFF521ITF","Homo_sapiens","stomach"
"ENCFF523IZH","Homo_sapiens","liver"
"ENCFF525IDA","Mus_musculus","kidney"
"ENCFF525KUY","Mus_musculus","kidney"
"ENCFF525TFO","Mus_musculus","stomach"
"ENCFF527JTS","Mus_musculus","liver"
"ENCFF527KZC","Mus_musculus","stomach"
"ENCFF528INY","Mus_musculus","liver"
"ENCFF528WNO","Mus_musculus","stomach"
"ENCFF530YDY","Mus_musculus","stomach"
"ENCFF531JGY","Mus_musculus","kidney"
"ENCFF535CTV","Mus_musculus","kidney"
"ENCFF535WOY","Mus_musculus","liver"
"ENCFF538FRN","Mus_musculus","kidney"
"ENCFF538ILW","Mus_musculus","kidney"
"ENCFF539XOU","Mus_musculus","liver"
"ENCFF540HWE","Mus_musculus","lung"
"ENCFF541PZF","Mus_musculus","stomach"
"ENCFF541TWI","Mus_musculus","kidney"
"ENCFF541YRE","Homo_sapiens","cerebellum"
"ENCFF543AFT","Mus_musculus","stomach"
"ENCFF544XTJ","Mus_musculus","liver"
"ENCFF545MGJ","Mus_musculus","stomach"
"ENCFF547ALY","Mus_musculus","kidney"
"ENCFF547YMO","Homo_sapiens","liver"
"ENCFF548KDI","Mus_musculus","liver"
"ENCFF548KDV","Mus_musculus","kidney"
"ENCFF549JQH","Mus_musculus","liver"
"ENCFF549WAH","Homo_sapiens","kidney"
"ENCFF550FMX","Mus_musculus","stomach"
"ENCFF550NVA","Mus_musculus","liver"
"ENCFF550QJT","Mus_musculus","liver"
"ENCFF551NLD","Mus_musculus","kidney"
"ENCFF552SPT","Mus_musculus","lung"
"ENCFF554OQG","Mus_musculus","stomach"
"ENCFF555HMR","Mus_musculus","liver"
"ENCFF556QWC","Mus_musculus","stomach"
"ENCFF557ONH","Mus_musculus","cerebellum"
"ENCFF559JUY","Mus_musculus","lung"
"ENCFF559XMP","Mus_musculus","stomach"
"ENCFF560NYT","Mus_musculus","lung"
"ENCFF562PZC","Mus_musculus","stomach"
"ENCFF562QRD","Homo_sapiens","kidney"
"ENCFF563TRA","Mus_musculus","kidney"
"ENCFF563ZWH","Mus_musculus","liver"
"ENCFF565NOC","Mus_musculus","liver"
"ENCFF565XQE","Mus_musculus","liver"
"ENCFF570IJL","Mus_musculus","kidney"
"ENCFF570NCA","Mus_musculus","liver"
"ENCFF571AIO","Mus_musculus","liver"
"ENCFF571NZA","Homo_sapiens","kidney"
"ENCFF572DFB","Mus_musculus","lung"
"ENCFF572ZYX","Mus_musculus","kidney"
"ENCFF573TTZ","Mus_musculus","liver"
"ENCFF573ZOR","Mus_musculus","kidney"
"ENCFF574QYF","Mus_musculus","lung"
"ENCFF576WIS","Mus_musculus","kidney"
"ENCFF577PBY","Mus_musculus","kidney"
"ENCFF577UJE","Mus_musculus","cerebellum"
